Date,Price,Open,High,Low
27-11-2020,15.465,14.8,16.23,14.7
26-11-2020,14.65,14.6,14.9,14.4
25-11-2020,14.625,14.59,15,14.25
24-11-2020,14.345,14,14.69,14
23-11-2020,14.11,14.09,14.5,13.72
20-11-2020,13.995,14,14.19,13.8
19-11-2020,14.12,14.2,14.3,13.94
18-11-2020,14.175,13.91,14.44,13.91
17-11-2020,14.155,14.18,14.48,13.83
14-11-2020,14,14.05,14.3,13.7
13-11-2020,13.94,14.07,14.07,13.81
12-11-2020,13.815,13.55,14.08,13.55
11-11-2020,13.85,14.1,14.1,13.6
10-11-2020,14.11,14.4,14.4,13.82
09-11-2020,14.175,13.95,14.4,13.95
06-11-2020,14.07,14,14.14,14
05-11-2020,14.1,13.92,14.28,13.92
04-11-2020,14,13.9,14.1,13.9
03-11-2020,14.045,14.09,14.19,13.9
02-11-2020,14.05,13.9,14.2,13.9
30-10-2020,14.125,13.9,14.35,13.9
29-10-2020,13.965,14,14.18,13.75
28-10-2020,14,13.8,14.2,13.8
27-10-2020,13.925,14,14.05,13.8
26-10-2020,14.125,13.95,14.55,13.7
23-10-2020,13.92,14.04,14.04,13.8
22-10-2020,13.88,14,14.05,13.71
21-10-2020,13.94,13.91,14.08,13.8
20-10-2020,14.065,13.8,14.33,13.8
19-10-2020,14.19,14.2,14.5,13.88
16-10-2020,13.925,13.89,14.2,13.65
15-10-2020,13.87,13.84,14.19,13.55
14-10-2020,13.635,13.7,13.85,13.42
13-10-2020,13.505,13.75,13.75,13.26
12-10-2020,13.675,13.5,14.2,13.15
09-10-2020,13.6,14,14.15,13.05
08-10-2020,14.075,14.25,14.35,13.8
07-10-2020,14.075,14.4,14.4,13.75
06-10-2020,14.13,14.25,14.45,13.81
05-10-2020,14.45,14.75,14.75,14.15
01-10-2020,14.225,14.05,14.7,13.75
30-09-2020,14.45,14.4,14.9,14
