Date,brent-daily_Price,dubai-daily_Price,dubai-daily_Open,dubai-daily_High,dubai-daily_Low,wti-daily_Price
2021-09-04,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-05,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-06,72.43,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-07,71.52,69.71,69.71,69.71,69.71,68.49
2021-09-08,72.36,70.38,70.38,70.38,70.38,69.36
2021-09-09,71.32,69.63,69.63,69.63,69.63,68.26
2021-09-10,72.44,70.7,70.7,70.7,70.7,69.82
2021-09-11,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-12,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-13,72.97,71.11,71.11,71.11,71.11,70.54
2021-09-14,73.05,71.19,71.19,71.19,71.19,70.53
2021-09-15,74.84,72.09,72.09,72.09,72.09,72.59
2021-09-16,75.14,72.07,72.07,72.07,72.07,72.69
2021-09-17,74.64,71.92,71.92,71.92,71.92,72.09
2021-09-18,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-19,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-20,73.59,71.36,71.36,71.36,71.36,70.41
2021-09-21,73.65,71.57,71.57,71.57,71.57,70.51
2021-09-22,75.5,72.14,72.14,72.14,72.14,72.37
2021-09-23,76.44,72.35,72.35,72.35,72.35,73.43
2021-09-24,77.42,72.45,72.45,72.45,72.45,74.18
2021-09-25,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-26,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-09-27,78.85,72.61,72.61,72.61,72.61,75.54
2021-09-28,78.3,72.63,72.63,72.63,72.63,75.44
2021-09-29,77.86,72.57,72.57,72.57,72.57,75.06
2021-09-30,77.81,72.61,72.61,72.61,72.61,75.22
2021-10-01,79.4,76.77,76.77,76.77,76.77,76.01
2021-10-02,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-03,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-04,81.44,78.52,78.52,78.52,78.52,77.68
2021-10-05,82.72,79.71,79.71,79.71,79.71,79.17
2021-10-06,81.39,78.69,78.69,78.69,78.69,77.66
2021-10-07,82.34,79.45,79.45,79.45,79.45,78.46
2021-10-08,82.17,79.76,79.76,79.76,79.76,79.55
2021-10-09,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-10,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-11,83.75,80.68,80.68,80.68,80.68,80.64
2021-10-12,83.53,80.58,80.58,80.58,80.58,80.75
2021-10-13,83.53,80.45,80.45,80.45,80.45,80.67
2021-10-14,83.86,80.95,80.95,80.95,80.95,81.43
2021-10-15,84.67,81.51,81.51,81.51,81.51,82.39
2021-10-16,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-17,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-10-18,84.13,81.31,81.31,81.31,81.31,82.62
2021-10-19,85.02,81.61,81.61,81.61,81.61,83.19
2021-10-20,85.76,81.81,81.81,81.81,81.81,84.4
2021-10-21,84.58,81.44,81.44,81.44,81.44,82.64
2021-10-22,85.43,81.61,81.61,81.61,81.61,84.53
